;year;violent;murder;robbery;prisoners;afam;cauc;male;population;income;density;state;law
19;1995;632.4;11.2;185.8;450;9.094.921;5.533.187;1.454.549;4.262.731;12872.68;0.0839947;Alabama;no
20;1996;565.4;10;167;471;914.942;553.142;1.441.802;4.290.403;12908.91;0.08454;Alabama;no
21;1997;564.5;9.9;160.5;492;9.206.091;5.515.972;1.430.733;4.320.281;13121.11;0.0851287;Alabama;no
22;1998;512.1;8.1;130.9;500;9.257.586;5.525.745;1.416.984;4.351.037;13514.1;0.0857347;Alabama;no
23;1999;490.2;7.9;121.2;519;9.331.416;5.529.781;140.052;4.369.862;13737.26;0.0861057;Alabama;no
24;1977;443.2;10.8;96.8;63;7.835.672;621.413;2.235.269;0.403437;20296.83;0.0007083;Alaska;no
25;1978;441.9;12.9;91.3;75;7.945.618;6.265.009;2.205.606;0.404764;19044.99;0.0007106;Alaska;no
26;1979;491.1;13.3;109.6;127;8.057.296;6.309.599;2.197.401;0.402753;18115.89;0.0007071;Alaska;no
27;1980;436;8.9;81.8;133;8.123.558;627.206;2.155.065;0.405315;17901.66;0.00071;Alaska;no
28;1981;615.8;14.6;114.6;143;8.153.878;6.280.371;2.101.661;0.418488;18075.23;0.0007331;Alaska;no
29;1982;623.7;18.5;133.8;170;8.149.489;6.289.593;2.032.379;0.449611;18967.13;0.0007876;Alaska;no
30;1983;613.8;13.8;97.1;194;8.114.173;6.286.964;1.954.211;0.488417;19045;0.0008556;Alaska;no
31;1984;621.6;11.6;109.4;219;8.094.755;6.241.428;1.885.155;0.513703;18590.22;0.0008999;Alaska;no
32;1985;581.8;9.8;92.9;252;805.383;6.188.262;1.822.919;0.532492;18705.2;0.0009328;Alaska;no
33;1986;570.4;8.6;88;288;80.824;612.697;1.781.123;0.544269;17906.39;0.0009535;Alaska;no
34;1987;455.4;10.1;73.1;306;8.185.459;6.043.927;1.749.717;0.53931;16955.92;0.0009448;Alaska;no
35;1988;522.8;5.7;72.9;339;839.216;6.009.351;1.720.629;0.541982;16740.64;0.0009495;Alaska;no
36;1989;497.7;8;67.6;355;8.556.108;5.982.404;1.713.378;0.547153;17285.38;0.0009585;Alaska;no
37;1990;524.5;7.5;76.7;361;8.630.677;6.008.334;1.699.975;0.55312;17311.88;0.0009697;Alaska;no
38;1991;613.9;7.4;113.2;348;8.526.665;6.035.909;1.656.165;0.569273;17005.98;0.0009981;Alaska;no
39;1992;660.5;7.5;109;345;8.534.543;6.075.548;1.634.584;0.587073;16978.23;0.0010293;Alaska;no
40;1993;760.8;9;122.4;327;8.630.754;6.076.018;1.619.282;0.596993;17067.91;0.0010467;Alaska;no
41;1994;766.3;6.3;146.2;446;8.593.396;6.087.202;1.597.539;0.600624;16970.02;0.001053;Alaska;no
42;1995;770.9;9.1;155.1;317;8.624.999;6.120.048;1.575.818;0.601345;16871.89;0.0010543;Alaska;yes
43;1996;727.7;7.4;117;338;875.226;6.123.177;158.195;0.604918;16546.19;0.0010606;Alaska;yes
44;1997;701.1;8.9;106.4;383;8.834.417;6.100.919;1.598.483;0.608846;16816.68;0.0010675;Alaska;yes
45;1998;653.9;6.7;86.6;420;8.933.932;6.074.545;1.630.562;0.615205;17077.45;0.0010786;Alaska;yes
46;1999;631.5;8.6;91.4;413;8.986.603;6.055.464;166.318;0.6195;17120.14;0.0010861;Alaska;yes
47;1977;494.2;9.5;138.2;125;3.436.422;6.661.958;1.872.813;2.425.197;10919.45;0.021383;Arizona;no
48;1978;552.1;9.4;162.9;129;3.457.416;6.648.782;1.848.919;2.515.318;11591.41;0.0221776;Arizona;no
49;1979;593;8.9;175.7;146;3.473.442;6.649.958;1.828.485;263.557;11804.69;0.0232379;Arizona;no
50;1980;650.9;10.3;193.6;139;3.592.809;6.615.736;180.928;2.737.774;11594.31;0.0241197;Arizona;no
51;1981;575.8;8.1;177.6;160;3.557.633;6.635.718;1.799.499;2.810.127;11681.17;0.0247571;Arizona;no
52;1982;517;8.3;158.6;184;3.588.126;6.618.365;1.779.727;2.889.865;11295.24;0.0254596;Arizona;no
53;1983;494.2;7.2;132.4;209;3.622.587;6.586.687;1.758.133;2.968.928;11654;0.0261561;Arizona;no
54;1984;516.1;7.8;131.1;223;3.644.696;6.558.672;1.730.715;3.067.142;12356.72;0.0270214;Arizona;no
55;1985;602.5;8;146.5;247;3.673.841;6.533.994;170.261;3.183.535;12786.21;0.0280468;Arizona;no
56;1986;658.3;9.3;169.2;256;372.806;6.511.162;1.673.828;3.308.262;13146.87;0.0291456;Arizona;no
57;1987;612.6;7.5;138.4;268;3.784.642;6.477.774;1.645.066;3.437.102;13269.01;0.0302807;Arizona;no
58;1988;610.1;8.5;137;307;3.844.388;6.444.434;1.615.664;3.535.179;13299.39;0.0311448;Arizona;no
59;1989;599.6;6.7;139;328;3.903.289;6.391.225;1.589.517;3.622.176;13304.1;0.0319112;Arizona;no
60;1990;652.4;7.7;160.9;350;3.964.251;6.484.599;1.565.157;3.679.056;13114.78;0.0323741;Arizona;no
61;1991;670.7;7.8;165.7;375;4.026.213;6.448.261;1.532.617;3.762.394;12838.55;0.0331074;Arizona;no
62;1992;670.8;8.1;153.1;396;4.067.532;6.429.301;1.506.402;3.867.333;12873.01;0.0340308;Arizona;no
63;1993;715;8.6;162.9;409;4.107.062;6.402.615;1.484.015;399.339;12922.88;0.0351401;Arizona;no
64;1994;703.1;10.5;162;430;416.112;6.419.139;1.463.248;4.147.561;13288.13;0.0364967;Arizona;no
65;1995;713.5;10.4;173.8;459;4.210.515;6.404.899;1.452.453;4.306.908;13494.64;0.0378989;Arizona;yes
66;1996;631.5;8.5;167.8;473;4.258.865;6.388.958;1.444.164;4.432.308;13722.99;0.0390024;Arizona;yes
67;1997;623.7;8.2;165.7;479;4.313.578;6.403.395;1.437.867;4.552.207;14146.38;0.0400574;Arizona;yes
68;1998;577.9;8.1;165.2;484;4.317.078;6.387.193;1.436.154;4.667.277;14745.26;0.04107;Arizona;yes
69;1999;551.2;8;152.5;507;4.343.524;6.380.436;1.436.654;4.778.332;15053.45;0.0420472;Arizona;yes
70;1977;322.9;8.8;83.2;115;5.325.915;5.949.733;1.729.585;220.901;9.321.481;0.0425259;Arkansas;no
71;1978;344.1;9.1;80;111;5.294.712;5.949.071;1.709.856;2.243.125;9.945.752;0.0431827;Arkansas;no
72;1979;366.2;9.1;74.6;115;5.256.688;5.947.256;16.902;2.271.335;9.724.736;0.0437258;Arkansas;no
73;1980;335.2;9.2;80.9;132;5.301;5.940.872;1.677.785;2.288.738;9.171.474;0.0439483;Arkansas;no
74;1981;310.3;9.1;77.4;128;5.363.085;5.939.111;1.670.277;2.293.195;9.386.144;0.0440339;Arkansas;no
75;1982;324.7;8.2;78.8;143;5.396.681;5.934.017;1.657.396;2.294.262;9.238.463;0.0440543;Arkansas;no
76;1983;297.7;7.6;69.3;166;5.412.156;5.931.244;1.641.476;2.305.754;9476;0.044275;Arkansas;no
77;1984;321.4;7.5;67.6;179;5.429.969;593.006;1.623.451;2.319.774;10127.04;0.0445442;Arkansas;no
78;1985;347.6;7.9;68.5;188;5.448.844;5.918.848;1.604.804;2.327.044;10430.46;0.0446838;Arkansas;no
79;1986;394.8;8.1;79.7;195;5.453.926;5.912.255;1.581.027;233.199;10666.21;0.0447788;Arkansas;no
80;1987;412;7.6;79.1;198;5.468.931;5.908.031;1.559.308;2.342.359;10685.37;0.0449779;Arkansas;no
81;1988;422.7;8.7;84.1;227;5.485.952;5.894.504;1.535.794;2.342.638;10959.47;0.0449833;Arkansas;no
82;1989;473.7;8.4;110.6;230;5.507.787;5.881.361;1.512.138;2.346.387;11091.84;0.0450552;Arkansas;no
83;1990;532.2;10.3;113.2;261;5.545.241;6.101.876;1.493.504;2.354.343;11055.86;0.0452106;Arkansas;no
84;1991;593.3;11.1;135.6;277;5.603.151;6.095.456;1.480.757;2.370.666;11151.41;0.0455241;Arkansas;no
85;1992;576.5;10.8;125.5;317;5.660.378;6.080.524;1.468.971;2.394.098;11661.75;0.045974;Arkansas;no
86;1993;593.3;10.2;124.9;340;5.731.631;6.091.962;1.456.569;2.423.743;11709.56;0.0465433;Arkansas;no
87;1994;595.1;12;128.7;327;5.748.989;6.100.677;1.445.512;2.450.605;11928;0.0470591;Arkansas;no
88;1995;553.2;10.4;125.7;345;5.777.742;6.096.267;1.439.696;2.480.121;12129.08;0.0476259;Arkansas;no
89;1996;524;9;114;361;583.566;6.096.302;1.436.884;2.504.858;12345.67;0.048101;Arkansas;yes
90;1997;526.9;9.9;111.5;357;5.884.809;610.488;1.430.606;2.524.007;12561.59;0.0484687;Arkansas;yes
91;1998;490.2;7.9;96.2;392;5.917.338;6.109.908;1.425.316;2.538.202;12987.42;0.0487413;Arkansas;yes
92;1999;425.2;5.6;79.3;415;5.961.927;612.114;1.417.539;2.551.373;13295.33;0.0489942;Arkansas;yes
93;1977;706;11.5;287;85;5.011.663;6.551.936;1.878.835;223.524;14089.08;0.1429538;California;no
94;1978;742.9;11.7;306.1;80;516.054;6.527.907;1.863.814;2.283.596;14696.3;0.1460464;California;no
95;1979;811.1;13;333.8;88;5.299.742;6.499.982;1.849.175;2.325.689;14880.71;0.1487384;California;no
96;1980;893.6;14.5;384.2;93;5.594.304;6.443.827;1.838.397;238.008;14543.06;0.1522774;California;no
97;1981;863;13;388.2;98;5.764.122;6.416.476;1.833.019;2.428.594;14472.68;0.1553813;California;no
98;1982;814.7;11.2;372.1;114;5.955.957;6.359.418;1.820.489;2.482.001;14214.77;0.1587982;California;no
99;1983;772.6;10.5;340.9;135;6.108.492;6.302.439;1.800.803;2.536.002;14491;0.1622533;California;no
100;1984;763.4;10.6;327.5;150;6.266.548;6.247.379;1.779.389;2.584.439;15273.99;0.1653522;California;no
101;1985;765.3;10.5;327.7;162;6.419.227;619.726;1.758.418;2.644.111;15657.73;0.1691701;California;no
102;1986;920.5;11.3;342.9;181;6.571.936;614.321;1.735.141;2.710.224;16023.85;0.1734;California;no
103;1987;918;10.6;301.3;212;6.712.571;6.096.083;171.327;2.777.715;16334.12;0.177718;California;no
104;1988;929.8;10.4;305.8;231;6.850.673;6.054.552;1.692.792;2.846.425;16598.35;0.1821141;California;no
105;1989;977.7;10.9;331.8;257;6.997.949;6.014.187;1.678.493;2.921.816;16674.29;0.1869376;California;no
106;1990;1045.2;11.9;377;283;7.156.204;6.053.821;1.661.047;2.995.011;16679.42;0.1920211;California;no
107;1991;1089.9;12.7;411.3;311;726.585;5.986.163;1.622.872;3.041.411;16099.54;0.194996;California;no
108;1992;1119.7;12.7;424.1;318;7.394.206;5.940.587;159.039;3.087.592;16132.62;0.1979568;California;no
109;1993;1077.8;13.1;405.1;339;7.525.185;5.884.095;1.559.114;3.114.721;15796.7;0.1996962;California;no
110;1994;1013;11.8;356.8;368;7.618.953;5.834.014;1.529.132;3.131.718;15773.86;0.2007859;California;no
111;1995;966;11.2;331.2;384;7.714.913;5.791.899;1.508.377;3.149.352;16020.38;0.2019165;California;no
112;1996;862.7;9.1;295.6;416;7.803.103;5.764.225;1.495.196;3.178.083;16232.5;0.2037585;California;no
113;1997;798.3;8;252.5;446;7.907.242;5.771.132;1.488.057;3.221.771;16606.78;0.2065595;California;no
114;1998;703.7;6.6;210.6;475;8.000.757;5.791.366;1.487.256;3.268.279;17269.3;0.2095414;California;no
115;1999;627.2;6;181.1;483;808.967;5.814.976;1.491.536;3.314.512;17853.89;0.2125055;California;no
116;1977;511.9;6.3;170.7;87;2.026.637;7.237.897;2.001.816;2.696.142;12440.15;0.0259829;Colorado;no
117;1978;498;7.3;159.2;89;2.081.794;7.241.429;1.980.795;2.766.748;13047.59;0.0266633;Colorado;no
118;1979;522.1;5.8;157;93;2.115.095;7.249.131;19.576;2.849.234;13165.71;0.0274583;Colorado;no
119;1980;528.6;6.9;160.1;90;2.207.162;7.237.984;193.459;2.908.803;13068.08;0.0280786;Colorado;no
120;1981;531.7;8.1;159.5;96;2.254.344;7.238.009;1.903.929;2.977.895;13306.54;0.0287455;Colorado;no
121;1982;504.2;6;150.6;92;2.313.977;7.221.121;1.855.973;3.061.569;13359.24;0.0295533;Colorado;no
122;1983;476.4;6.4;126.4;108;2.368.948;7.182.253;1.804.688;3.133.628;13570;0.0302488;Colorado;no
123;1984;457.8;5.8;114;109;2.424.206;7.146.875;1.752.742;3.169.987;14146.21;0.0305998;Colorado;no
124;1985;471;5.8;124.2;104;2.491.744;7.109.287;1.711.547;3.208.717;14275.22;0.0309737;Colorado;no
125;1986;523.6;7;144.8;103;2.547.748;7.060.625;1.664.707;3.237.447;14336.75;0.031251;Colorado;no
126;1987;467.5;5.8;118.8;115;2.599.251;7.012.352;1.622.412;3.260.478;14397.71;0.0314733;Colorado;no
127;1988;472.6;5.7;98.8;145;2.643.703;6.971.968;1.581.841;3.262.281;14553.97;0.0314907;Colorado;no
128;1989;471.4;4.4;90;174;2.698.713;694.189;1.547.111;3.275.821;14894.04;0.0316214;Colorado;no
129;1990;526;4.2;90.6;207;2.750.993;7.051.215;1.520.009;3.303.862;15013.69;0.0318506;Colorado;no
130;1991;559.3;5.9;107.4;209;2.798.311;705.401;1.487.783;3.367.567;14976;0.0324647;Colorado;no
131;1992;578.8;6.2;120.5;249;2.829.628;7.058.759;146.569;3.459.995;15227.37;0.0333558;Colorado;no
132;1993;567.3;5.8;116.7;256;2.879.706;7.076.588;1.446.057;3.560.884;15520.41;0.0343284;Colorado;no
133;1994;509.6;5.4;106.9;262;2.920.543;7.096.488;1.428.738;365.391;15790.66;0.0352252;Colorado;no
134;1995;440.2;5.8;96.2;289;2.947.571;711.405;1.421.173;3.738.061;16261.71;0.0360365;Colorado;no
135;1996;404.5;4.7;98.2;292;2.973.025;711.972;1.417.882;3.812.716;16656.68;0.0367562;Colorado;no
136;1997;363.2;4;83.3;322;3.003.526;711.914;1.420.073;3.891.293;17357.57;0.0375137;Colorado;no
137;1998;377.9;4.6;81.5;342;3.058.428;7.109.323;1.423.766;3.968.967;18242.02;0.0382625;Colorado;no
138;1999;340.5;4.6;75.3;357;3.094.968;7.119.784;1.423.856;4.056.133;18856.73;0.0391028;Colorado;no
139;1977;282.3;4.2;129.5;62;2.625.869;6.983.115;1.753.661;3.085.722;14322.53;0.6346611;Connecticut;no
140;1978;315;4.2;154.8;53;268.661;6.985.175;1.744.055;3.091.629;14852.16;0.635876;Connecticut;no
141;1979;414.2;4.2;193.3;70;2.759.993;698.198;1.733.737;3.095.914;15052.21;0.6367573;Connecticut;no
142;1980;412.5;4.7;218;69;2.878.027;6.961.651;1.724.054;3.113.174;15038.75;0.638993;Connecticut;no
143;1981;448.1;5.4;246.1;68;2.987.402;6.948.974;1.718.353;3.128.839;15196.04;0.6422083;Connecticut;no
144;1982;399.5;5.2;208.5;95;3.083.773;6.911.452;1.699.181;3.139.012;15379.9;0.6442964;Connecticut;no
145;1983;375;4.1;200.6;114;3.172.015;6.865.659;1.676.026;3.162.343;15799;0.6490852;Connecticut;no
146;1984;393.8;3.9;190.5;114;3.261.486;6.823.032;1.647.208;3.180.023;16859.22;0.6527141;Connecticut;no
147;1985;402;3.8;190;119;3.348.601;6.774.603;1.617.114;3.201.128;17374.54;0.657046;Connecticut;no
148;1986;425.8;4.6;192.2;127;3.435.485;6.721.826;1.587.937;3.223.737;18214.54;0.6616866;Connecticut;no
149;1987;419;4.9;178.1;135;3.523.706;667.266;1.553.988;3.247.291;19201.91;0.6665211;Connecticut;no
150;1988;455.4;5.4;187.6;144;3.617.498;662.566;1.522.223;3.271.958;20213.89;0.6715842;Connecticut;no
151;1989;511.8;5.9;214.8;146;3.704.991;6.567.208;1.487.585;3.283.409;20714.99;0.6739345;Connecticut;no
152;1990;553.7;5.1;234.8;194;3.790.024;6.724.413;1.453.457;3.289.056;20372.83;0.6788557;Connecticut;no
153;1991;539.7;5.7;224.4;238;3.877.986;666.134;1.412.867;328.864;19636.85;0.6787698;Connecticut;no
154;1992;495.3;5.1;210.9;263;3.949.469;6.603.352;1.375.824;3.274.997;20330.85;0.675954;Connecticut;no
155;1993;456.2;6.3;196.7;268;4.025.792;6.546.114;1.345.976;3.272.325;20395.78;0.6754025;Connecticut;no
156;1994;455.5;6.6;187.8;320;4.081.422;6.508.693;1.317.764;3.268.346;20517.5;0.6745812;Connecticut;no
157;1995;405.9;4.6;163.2;321;4.132.952;6.480.254;129.683;3.265.293;20893.34;0.6739511;Connecticut;no
158;1996;412;4.8;169.6;318;4.208.807;6.468.811;1.281.999;326.703;21254.72;0.6743096;Connecticut;no
159;1997;390.9;3.8;152.9;314;4.299.477;6.464.516;1.272.505;3.268.514;22119.4;0.6746159;Connecticut;no
160;1998;366.3;4.1;133.8;397;4.391.971;6.435.552;127.314;3.272.563;23133.07;0.6754516;Connecticut;no
161;1999;345.6;3.3;123.5;372;4.480.762;6.413.895;1.277.051;3.282.031;23646.71;0.6774058;Connecticut;no
162;1977;382.1;6;157;118;574.693;6.415.755;1.857.513;0.591829;13008.97;0.2986019;Delaware;no
163;1978;440.7;6.7;145.5;120;5.840.172;6.410.252;1.842.085;0.594777;13229.42;0.3000893;Delaware;no
164;1979;537.3;5.7;129.4;173;5.939.507;6.396.815;1.825.366;0.594982;13101.23;0.3001927;Delaware;no
165;1980;474.8;6.9;137;181;6.039.646;6.320.911;1.799.573;0.594919;13060.83;0.3079291;Delaware;no
166;1981;509;6.7;141.1;183;612.362;6.302.656;1.787.335;0.595971;13012.81;0.3084736;Delaware;no
167;1982;559.8;5.3;122.4;208;6.171.387;6.256.893;1.769.248;0.599136;13134.26;0.3101118;Delaware;no
168;1983;453.1;4.1;115.3;250;6.215.406;6.210.418;1.744.423;0.605415;13529;0.3133618;Delaware;no
169;1984;435.7;4.1;116;273;6.255.918;6.166.697;1.714.883;0.611517;14208.54;0.3165202;Delaware;no
170;1985;433.3;4.8;124.3;263;6.296.459;6.120.521;1.685.876;0.618284;14867.86;0.3200228;Delaware;no
171;1986;427;4.9;124.2;281;634.046;6.080.499;165.373;0.627557;15253.93;0.3248225;Delaware;no
172;1987;430.7;5.1;122.5;311;6.404.671;6.048.524;162.124;0.636957;15727.24;0.3296879;Delaware;no
173;1988;451.7;5.2;118.8;326;6.478.223;6.015.025;1.585.676;0.647585;16260.7;0.3351889;Delaware;no
174;1989;556.5;5.1;138.8;331;6.554.518;5.982.942;1.551.852;0.658233;16806.79;0.3407003;Delaware;no
175;1990;655.2;5;164.8;333;66.351;6.146.357;1.520.903;0.669063;16486.63;0.3422317;Delaware;no
176;1991;714.3;5.4;214.7;323;6.794.319;61.005;1.492.472;0.680495;16332;0.3480793;Delaware;no
177;1992;621.2;4.6;151.2;344;6.956.813;6.055.497;1.465.491;0.690158;16396.74;0.353022;Delaware;no
178;1993;685.9;5;186.7;390;709.718;6.017.885;1.439.437;0.699475;16414.05;0.3577877;Delaware;no
179;1994;644.3;4.7;161.6;394;7.244.331;5.973.326;1.418.362;0.708416;16484.16;0.3623611;Delaware;no
180;1995;725;3.5;198.7;400;7.419.685;5.949.879;1.396.769;0.718265;16605.71;0.367399;Delaware;no
181;1996;668.3;4.3;179.9;413;7.576.778;5.917.424;1.379.513;0.72709;16916.4;0.371913;Delaware;no
182;1997;677.9;2.5;179.5;428;7.754.169;5.877.142;1.367.493;0.735024;17019.75;0.3759713;Delaware;no
183;1998;762.4;2.8;194.2;443;7.950.773;583.795;1.357.648;0.744066;17853.42;0.3805964;Delaware;no
184;1999;734;3.2;197.9;429;8.134.692;5.807.962;1.349.182;0.753538;18359.2;0.3854414;Delaware;no
185;1977;1426.5;27.8;964.5;334;2.580.589;2.191.194;1.815.841;0.677229;15950.09;1.110.212;District of Columbia;no
186;1978;1411.7;28;939.6;330;2.582.674;2.199.967;1.804.598;0.665051;15964.54;1.090.248;District of Columbia;no
187;1979;1608.7;27.4;1054.9;383;2.586.125;2.206.764;1.792.189;0.650015;15552.99;1.065.598;District of Columbia;no
188;1980;2010.6;31.5;1400.6;433;2.568.026;2.178.043;1.760.016;0.638284;14927.52;1.013.149;District of Columbia;no
189;1981;2274.8;35.1;1635.1;426;2.558.024;2.242.587;1.762.946;0.636894;14828.88;1.010.943;District of Columbia;no
190;1982;2123.1;30.7;1448;467;2.538.574;2.297.488;1.752.571;0.634171;15278.76;1.006.621;District of Columbia;no
191;1983;1915.4;29.4;1235.6;531;2.507.103;2.342.597;1.724.135;0.632439;15532;1.003.871;District of Columbia;no
192;1984;1721.5;28.1;977;558;248.133;2.385.827;1.701.343;0.633382;16423.83;1.005.368;District of Columbia;no
193;1985;1624.8;23.5;835.5;649;2.452.111;2.420.183;1.674.339;0.634543;16831.9;1.007.211;District of Columbia;no
194;1986;1505.3;31;754;738;2.427.641;2.454.855;1.652.195;0.638278;17298.27;101.314;District of Columbia;no
195;1987;1610.3;36.2;717.4;753;2.404.692;2.480.383;1.623.433;0.636934;17760.13;1.011.006;District of Columbia;no
196;1988;1921.6;59.5;917.7;905;2.384.928;2.505.639;1.595.927;0.63043;18894.48;1.000.683;District of Columbia;no
197;1989;2141.9;71.9;1083.1;1078;2.358.799;2.525.086;1.564.346;0.624165;19521.73;9.907.381;District of Columbia;no
198;1990;2458.2;77.8;1213.5;1132;2.341.714;2.608.502;1.529.709;0.603814;20289.77;989.859;District of Columbia;no
199;1991;2453.3;80.6;1215.6;1148;2.334.388;2.552.125;1.492.299;0.593239;20517.71;9.725.229;District of Columbia;no
200;1992;2832.8;75.2;1266.4;1221;2.330.794;254.095;1.455.931;0.584183;21309.23;9.576.771;District of Columbia;no
201;1993;2921.8;78.5;1229.6;1287;2.292.985;2.570.434;1.405.723;0.576358;21817.18;9.448.492;District of Columbia;no
202;1994;2662.6;70;1107.2;1549;2.256.992;2.608.649;136.392;0.564982;22003.3;9.262;District of Columbia;no
203;1995;2661.4;65;1239;1782;2.226.011;2.644.189;132.945;0.551273;21611.43;9.037.263;District of Columbia;no
204;1996;2469.8;73.1;1186.7;1650;2.194.686;2.700.581;1.288.547;0.538273;21844.64;8.824.147;District of Columbia;no
205;1997;2024.2;56.9;850.9;1611;2.179.755;2.766.836;126.583;0.528752;22473.37;8.668.065;District of Columbia;no
206;1998;1718.5;49.7;689.5;1682;2.184.068;2.844.929;1.241.844;0.521426;22892.34;8.547.967;District of Columbia;no
207;1999;1627.7;46.4;644.3;1913;2.166.975;2.927.457;1.221.368;0.519;23399.74;8.508.196;District of Columbia;no
208;1977;686.8;10.2;187.9;211;508.674;6.000.757;1.637.442;8.856.183;11524.44;0.1637305;Florida;no
209;1978;765.6;11;206;221;5.038.732;599.397;1.613.016;9.102.032;12103.29;0.1682757;Florida;no
210;1979;833.9;12.2;249.4;239;5.018.184;6.012.845;1.597.145;9.426.159;12181.99;0.1742681;Florida;no
211;1980;983.5;14.5;355.5;220;5.078.043;5.985.242;1.573.494;9.839.835;12149.24;0.1817043;Florida;no
212;1981;965.1;15;348.9;208;5.139.825;5.993.149;1.572.342;1.019.278;12269.72;0.1882218;Florida;no
213;1982;896.8;13.5;297.6;224;5.180.603;5.984.478;1.558.158;1.047.141;12166.25;0.1933671;Florida;no
214;1983;826.7;11.2;263.4;261;5.210.392;5.969.122;1.542.759;1.074.984;12637;0.1985088;Florida;no
215;1984;868;11.5;276.2;235;5.222.791;5.950.279;1.517.453;1.103.992;13199.68;0.2038653;Florida;no
216;1985;941.1;11.4;312.4;242;5.236.619;5.925.166;1.492.604;1.135.112;13616.83;0.2096121;Florida;no
217;1986;1036.5;11.7;366.8;247;524.706;5.890.889;1.466.731;116.675;14019.51;0.2154544;Florida;no
218;1987;1024.4;11.4;356.6;272;5.271.782;58.623;1.438.565;1.199.729;14395.95;0.2215443;Florida;no
219;1988;1117.7;11.4;403.3;265;5.288.664;5.821.194;1.408.954;123.064;14813.31;0.2272523;Florida;yes
220;1989;1109.4;11.1;404;278;5.319.287;5.787.771;1.386.584;1.263.771;15293.13;0.2333704;Florida;yes
221;1990;1244.3;10.7;416.8;307;5.353.076;5.933.008;136.879;1.301.836;15129.51;0.2410942;Florida;yes
222;1991;1184.3;9.4;399.8;336;5.456.843;5.897.432;1.338.398;132.895;14758.16;0.2461155;Florida;yes
223;1992;1207.2;9;366.9;344;5.591.074;5.852.879;1.316.867;1.350.478;14669.31;0.2501023;Florida;yes
224;1993;1206;8.9;357.6;355;5.693.723;5.794.917;1.293.066;1.371.359;14918.23;0.2539695;Florida;yes
225;1994;1146.8;8.3;328.8;384;5.809.861;5.754.924;1.271.791;139.618;15012.48;0.2585662;Florida;yes
226;1995;1071;7.3;299.9;406;5.931.224;5.733.018;1.258.249;141.854;15376.85;0.2627072;Florida;yes
227;1996;1051;7.5;289.2;447;6.044.211;5.711.045;1.251.724;1.442.691;15631.16;0.2671799;Florida;yes
228;1997;1023.6;6.9;276.1;439;6.174.477;5.702.666;1.250.534;1.468.335;15972.74;0.271929;Florida;yes
229;1998;938.7;6.5;242.7;437;6.283.623;5.705.493;1.250.831;1.490.823;16454.84;0.2760937;Florida;yes
230;1999;854;5.7;211.6;447;6.394.272;5.711.421;1.252.576;1.511.124;16613.04;0.2798534;Florida;yes
231;1977;439.8;11.7;140.5;225;8.995.614;5.527.949;1.880.287;5.219.699;10227.32;0.0898817;Georgia;no
232;1978;482.8;14.4;166.3;224;9.080.371;5.513.272;1.861.688;5.295.753;10679.19;0.0911913;Georgia;no
233;1979;558.7;17.1;213.7;216;9.193.938;5.498.414;1.844.075;5.401.385;10594.58;0.0930103;Georgia;no
234;1980;555.3;13.8;197.6;224;9.368.551;5.487.352;1.832.683;5.486.174;10245.07;0.094498;Georgia;no
